date,nav,daily_return,regime,n_positions,gross_exposure,costs
2012-03-08,1027108.54,-0.003839,Goldilocks,8,1001328.0,45.98
2012-03-09,1032663.43,0.005408,Goldilocks,9,1055777.55,58.55
2012-03-12,1034708.24,0.00198,Goldilocks,9,1137368.04,111.0
2012-03-13,1039173.59,0.004316,Goldilocks,9,1053124.59,65.56
2012-03-14,1032915.49,-0.006022,Goldilocks,8,988116.99,122.5
2012-03-15,1037033.01,0.003986,Goldilocks,8,991318.51,156.97
2012-03-16,1041926.37,0.004719,Goldilocks,10,965110.6,68.14
2012-03-19,1043692.2,0.001695,Goldilocks,10,1066815.2,31.18
2012-03-20,1046399.67,0.002594,Goldilocks,8,1116222.2,147.71
2012-03-21,1048466.1,0.001975,Goldilocks,11,1196363.09,98.08
2012-03-22,1047060.4,-0.001341,Goldilocks,9,957009.36,62.7
2012-03-23,1049452.33,0.002284,Goldilocks,8,1088772.86,47.68
2012-03-26,1046330.56,-0.002975,Goldilocks,9,1269762.3,41.87
2012-03-27,1046705.18,0.000358,Goldilocks,8,1108751.41,45.47
2012-03-28,1044687.63,-0.001928,Goldilocks,7,798200.5,75.85
2012-03-29,1039124.59,-0.005325,Goldilocks,8,937955.68,80.33
2012-03-30,1037750.48,-0.001322,Goldilocks,8,926059.8,130.02
2012-04-02,1042796.42,0.004862,Goldilocks,8,961006.89,157.95
2012-04-03,1043389.58,0.000569,Goldilocks,8,1025940.81,116.95
2012-04-04,1052594.53,0.008822,Goldilocks,7,1005460.46,66.66
2012-04-05,1049610.46,-0.002835,Goldilocks,7,998119.15,66.24
2012-04-09,1055654.62,0.005758,Goldilocks,8,1047728.81,51.01
2012-04-10,1048131.2,-0.007127,Goldilocks,8,981447.38,91.01
2012-04-11,1049027.61,0.000855,Goldilocks,9,1075516.0,137.01
2012-04-12,1051099.19,0.001975,Goldilocks,8,902394.0,74.53
2012-04-13,1052800.14,0.001618,Goldilocks,8,1084819.69,140.05
2012-04-16,1059853.95,0.0067,Goldilocks,9,1175112.0,38.9
2012-04-17,1053427.16,-0.006064,Goldilocks,9,1081789.7,150.28
2012-04-18,1052980.17,-0.000424,Goldilocks,9,1111189.01,86.2
2012-04-19,1048931.87,-0.003845,Goldilocks,8,1054348.93,137.53
2012-04-20,1057312.81,0.00799,Goldilocks,10,1054229.41,91.05
2012-04-23,1064011.99,0.006336,Goldilocks,10,967101.09,30.0
2012-04-24,1062317.49,-0.001593,Goldilocks,11,975025.62,57.76
2012-04-25,1072827.21,0.009893,Goldilocks,9,924947.41,76.08
2012-04-26,1072680.07,-0.000137,Goldilocks,10,1077380.58,76.33
2012-04-27,1079296.12,0.006168,Goldilocks,12,1094608.81,120.75
2012-04-30,1078296.58,-0.000926,Goldilocks,12,1231446.6,72.1
2012-05-01,1068253.72,-0.009314,Goldilocks,9,985802.71,108.65
2012-05-02,1080905.83,0.011844,Goldilocks,11,1251140.88,121.87
2012-05-03,1075728.94,-0.004789,Goldilocks,9,1194547.8,78.29
2012-05-04,1075139.77,-0.000548,Goldilocks,11,1101171.2,152.57
2012-05-07,1070547.47,-0.004271,Goldilocks,10,1164934.76,32.35
2012-05-08,1084718.86,0.013238,Goldilocks,9,970413.24,130.12
2012-05-09,1082957.26,-0.001624,Goldilocks,8,944577.24,63.56
2012-05-10,1078659.88,-0.003968,Goldilocks,9,1068846.4,69.41
2012-05-11,1080891.56,0.002069,Goldilocks,10,1260718.29,73.49
2012-05-14,1084904.15,0.003712,Goldilocks,11,1333261.01,42.13
2012-05-15,1084313.68,-0.000544,Goldilocks,9,927073.2,118.65
2012-05-16,1071259.52,-0.012039,Goldilocks,10,975603.0,89.45
2012-05-17,1077737.24,0.006047,Goldilocks,11,1056512.65,122.19
2012-05-18,1072387.84,-0.004964,Goldilocks,10,933322.25,94.99
2012-05-21,1084145.3,0.010964,Goldilocks,8,680396.1,64.39
2012-05-22,1077575.03,-0.00606,Goldilocks,10,939194.06,104.47
2012-05-23,1077747.61,0.00016,Goldilocks,7,829210.19,60.08
2012-05-24,1077065.45,-0.000633,Goldilocks,9,962320.81,55.26
2012-05-25,1079001.71,0.001798,Goldilocks,9,936981.61,38.54
2012-05-29,1091777.89,0.011841,Goldilocks,7,716265.35,66.34
2012-05-30,1079126.13,-0.011588,Goldilocks,10,1133179.84,100.74
2012-05-31,1074814.7,-0.003995,Goldilocks,11,1136954.63,108.25
2012-06-01,1057313.58,-0.016283,Goldilocks,12,1236408.39,84.27
2012-06-04,1062041.62,0.004472,Goldilocks,12,1123124.2,57.75
2012-06-05,1058438.37,-0.003393,Goldilocks,11,1198908.45,68.4
2012-06-06,1059921.82,0.001402,Goldilocks,11,1217140.99,64.99
2012-06-07,1072672.64,0.01203,Goldilocks,9,1048567.18,61.15
2012-06-08,1072537.75,-0.000126,Goldilocks,10,1062056.36,7.77
2012-06-11,1064311.92,-0.00767,Goldilocks,8,1109836.6,35.59
2012-06-12,1061669.57,-0.002483,Goldilocks,10,1187548.41,36.14
2012-06-13,1061961.88,0.000275,Goldilocks,9,1028787.59,53.39
2012-06-14,1065459.44,0.003293,Goldilocks,12,1102564.39,60.27
2012-06-15,1068013.08,0.002397,Goldilocks,11,1058989.39,85.85
2012-06-18,1062583.82,-0.005084,Goldilocks,12,1010412.2,60.56
2012-06-19,1067899.99,0.005003,Goldilocks,9,948132.44,71.07
2012-06-20,1061883.53,-0.005634,Goldilocks,9,840690.69,41.48
