date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-10-06,927099.18,0.005517,Stagflation,12,1039156.21,141.64
2011-10-07,920238.55,-0.0074,Stagflation,10,1096089.29,79.23
2011-10-10,928724.9,0.009222,Stagflation,9,995711.79,77.76
2011-10-11,940165.04,0.012318,Stagflation,12,1153411.64,77.51
2011-10-12,939085.83,-0.001148,Stagflation,11,1230276.82,49.12
2011-10-13,940724.9,0.001745,Stagflation,10,1130043.8,27.91
2011-10-14,948056.09,0.007793,Stagflation,10,1054455.0,22.52
2011-10-17,937506.67,-0.011127,Stagflation,10,1152420.77,42.18
2011-10-18,937941.59,0.000464,Stagflation,9,1111805.2,35.29
2011-10-19,932975.7,-0.005294,Stagflation,9,1057949.4,51.09
2011-10-20,938085.93,0.005477,Stagflation,11,898606.47,78.06
2011-10-21,935623.87,-0.002625,Stagflation,10,887950.7,31.31
2011-10-24,931261.31,-0.004663,Stagflation,11,1219147.31,95.68
2011-10-25,940481.73,0.009901,Stagflation,11,1371023.99,47.78
2011-10-26,925957.66,-0.015443,Stagflation,10,1330441.79,29.87
2011-10-27,913045.01,-0.013945,Stagflation,9,969345.3,87.66
2011-10-28,908892.7,-0.004548,Stagflation,8,1039574.8,41.3
2011-10-31,920455.85,0.012722,Stagflation,8,1070117.59,65.16
2011-11-01,936090.64,0.016986,Stagflation,10,1135556.87,16.68
2011-11-02,921953.86,-0.015102,Stagflation,11,1161208.05,44.0
2011-11-03,921934.32,-2.1e-05,Stagflation,10,1083415.05,56.54
2011-11-04,928601.94,0.007232,Stagflation,11,1248998.7,51.53
2011-11-07,934236.51,0.006068,Stagflation,9,1099542.99,45.75
2011-11-08,925282.8,-0.009584,Stagflation,10,1037723.01,37.69
2011-11-09,931485.26,0.006703,Stagflation,8,1062167.59,66.16
2011-11-10,940545.95,0.009727,Stagflation,9,1081977.8,56.0
2011-11-11,925253.4,-0.016259,Stagflation,9,1117187.8,58.56
2011-11-14,916078.66,-0.009916,Stagflation,10,1092583.26,52.66
2011-11-15,916852.92,0.000845,Stagflation,9,987909.5,26.49
2011-11-16,921326.66,0.004879,Stagflation,8,998392.79,35.58
2011-11-17,937756.01,0.017832,Stagflation,8,925993.59,47.47
2011-11-18,931368.7,-0.006811,Stagflation,8,1075802.79,49.5
2011-11-21,946696.85,0.016458,Stagflation,12,1098675.61,114.64
2011-11-22,935321.84,-0.012015,Stagflation,9,843271.55,70.47
2011-11-23,936646.23,0.001416,Stagflation,10,777409.84,63.91
2011-11-25,938650.54,0.00214,Stagflation,10,865487.4,47.74
2011-11-28,947267.49,0.00918,Stagflation,11,871001.25,37.65
2011-11-29,944938.77,-0.002458,Stagflation,8,702152.2,86.37
2011-11-30,936885.12,-0.008523,Stagflation,10,930803.7,63.75
2011-12-01,925951.8,-0.01167,Stagflation,10,947289.81,35.41
2011-12-02,920729.26,-0.00564,Stagflation,9,841175.89,42.17
2011-12-05,916836.95,-0.004227,Stagflation,10,919796.19,27.59
2011-12-06,914291.04,-0.002777,Stagflation,10,898192.94,26.68
2011-12-07,907243.21,-0.007709,Stagflation,11,994357.61,28.47
2011-12-08,904957.51,-0.002519,Stagflation,10,952596.81,21.66
2011-12-09,901467.46,-0.003857,Stagflation,9,975974.01,55.96
2011-12-12,905743.0,0.004743,Stagflation,9,1118478.65,60.15
2011-12-13,914898.09,0.010108,Stagflation,8,910933.6,48.92
2011-12-14,923569.8,0.009478,Stagflation,9,1020499.0,107.49
2011-12-15,920294.56,-0.003546,Stagflation,11,1028554.89,53.63
2011-12-16,916225.59,-0.004421,Stagflation,11,1095922.99,40.56
2011-12-19,919492.77,0.003566,Stagflation,8,910124.3,71.31
2011-12-20,923569.5,0.004434,Stagflation,9,989171.31,26.27
2011-12-21,923196.34,-0.000404,Stagflation,9,1062284.9,14.75
2011-12-22,916089.05,-0.007699,Stagflation,9,1047010.19,13.1
2011-12-23,905896.08,-0.011127,Stagflation,10,1033278.4,26.67
2011-12-27,913037.94,0.007884,Stagflation,10,996344.0,35.72
2011-12-28,914784.82,0.001913,Stagflation,9,932212.38,60.95
2011-12-29,921468.87,0.007307,Stagflation,11,1067327.71,40.49
2011-12-30,906128.38,-0.016648,Stagflation,9,731900.24,84.91
2012-01-03,918039.04,0.013145,Stagflation,10,963883.6,54.97
2012-01-04,930426.08,0.013493,Stagflation,9,805318.3,57.08
2012-01-05,929402.63,-0.0011,Stagflation,10,770036.84,13.26
2012-01-06,936479.39,0.007614,Stagflation,10,859637.39,26.77
2012-01-09,932690.27,-0.004046,Stagflation,9,810543.24,21.23
2012-01-10,931723.05,-0.001037,Stagflation,10,911625.3,44.26
2012-01-11,929007.44,-0.002915,Stagflation,10,1000478.04,55.76
2012-01-12,924358.5,-0.005004,Stagflation,11,1033379.32,17.71
2012-01-13,922751.47,-0.001739,Stagflation,10,1001008.8,6.52
2012-01-17,925195.98,0.002649,Stagflation,10,1039841.0,44.67
2012-01-18,921151.9,-0.004371,Stagflation,10,998151.61,18.7
2012-01-19,916149.78,-0.00543,Stagflation,9,923575.74,58.63
2012-01-20,916490.49,0.000372,Stagflation,9,1022438.1,53.82
2012-01-23,913184.42,-0.003607,Stagflation,9,883833.85,51.38
2012-01-24,911846.05,-0.001466,Stagflation,10,1068522.39,42.41
2012-01-25,910717.38,-0.001238,Stagflation,11,1087827.51,36.29
2012-01-26,909664.51,-0.001156,Stagflation,10,1059160.72,51.05
2012-01-27,916889.56,0.007943,Stagflation,8,1037824.6,48.61
2012-01-30,919943.96,0.003331,Stagflation,8,1007885.39,33.4
2012-01-31,922467.61,0.002743,Goldilocks,8,927443.06,29.51
2012-02-01,917718.17,-0.005149,Goldilocks,9,1021444.74,94.54
2012-02-02,918322.3,0.000658,Goldilocks,9,1203078.11,49.92
2012-02-03,913831.33,-0.00489,Goldilocks,9,988084.81,58.96
2012-02-06,917469.63,0.003981,Goldilocks,9,1186381.21,67.72
2012-02-07,919276.16,0.001969,Goldilocks,9,1163670.31,6.07
2012-02-08,917130.48,-0.002334,Goldilocks,9,976202.39,66.76
2012-02-09,920503.52,0.003678,Goldilocks,8,1035892.59,61.9
2012-02-10,923626.03,0.003392,Goldilocks,8,1025613.25,80.69
2012-02-13,928671.23,0.005462,Goldilocks,6,694225.51,90.56
2012-02-14,931654.85,0.003213,Goldilocks,8,959799.84,79.72
2012-02-15,937059.6,0.005801,Goldilocks,7,956482.42,82.01
2012-02-16,934837.1,-0.002372,Goldilocks,8,945909.0,57.3
2012-02-17,937807.22,0.003177,Goldilocks,9,989070.2,70.86
2012-02-21,940928.02,0.003328,Goldilocks,7,740957.49,86.42
2012-02-22,940278.35,-0.00069,Goldilocks,9,940758.69,81.17
2012-02-23,947864.44,0.008068,Goldilocks,9,941536.74,72.48
2012-02-24,955784.13,0.008355,Goldilocks,10,880809.66,109.19
2012-02-27,953650.7,-0.002232,Goldilocks,9,809355.4,57.18
2012-02-28,945248.93,-0.00881,Goldilocks,8,718116.3,30.17
2012-02-29,941518.07,-0.003947,Goldilocks,8,765335.51,73.9
2012-03-01,945378.69,0.0041,Goldilocks,7,647134.1,25.98
2012-03-02,941012.38,-0.004619,Goldilocks,9,837830.35,57.32
2012-03-05,946092.06,0.005398,Goldilocks,9,813332.3,38.52
2012-03-06,946583.57,0.00052,Goldilocks,10,918292.9,98.58
2012-03-07,949717.89,0.003311,Goldilocks,11,926010.86,80.34
2012-03-08,952395.59,0.002819,Goldilocks,10,949119.0,45.44
2012-03-09,953308.93,0.000959,Goldilocks,8,766931.86,55.57
2012-03-12,952007.52,-0.001365,Goldilocks,10,1005744.29,53.1
2012-03-13,954534.48,0.002654,Goldilocks,11,1063263.89,47.66
2012-03-14,956449.08,0.002006,Goldilocks,11,1142604.6,71.11
2012-03-15,950890.98,-0.005811,Goldilocks,10,1071956.01,84.49
2012-03-16,960673.83,0.010288,Goldilocks,11,1135530.8,67.93
2012-03-19,958424.01,-0.002342,Goldilocks,10,893364.59,58.65
2012-03-20,962481.29,0.004233,Goldilocks,10,1013486.91,37.51
2012-03-21,962283.28,-0.000206,Goldilocks,9,871694.16,29.25
